ID,Title,Content,Excerpt,Date,"Post Type",Permalink
136,"Happy un peu","<h3>Tracklist</h3>
<ol>
    <li><span><strong><a rel=""tag"" href=""/tag/international-pony/"">International Pony</a></strong> - Our House (<a rel=""tag"" href=""/tag/ada/"">Ada</a> Rmx)</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/the-supermen-lovers/"">The Supermen Lovers</a></strong> - Family Business</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/cosmo-vitelli/"">Cosmo Vitelli</a></strong> - I Like To Move It Move It</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/moby/"">Moby</a></strong> - Mistake (<a rel=""tag"" href=""/tag/lifelike/"">Lifelike</a> Remix)</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/malik/"">Malik</a></strong> - My Love</span></li>
</ol>",,"2009-09-27 20:11:53",post,http://www.micromix.fr/happy-un-peu/
140,"Bboy Inertie","<h3>Tracklist</h3>
<ol>
    <li><span><strong><a href=""/tag/hot-streak/"" rel=""tag"">Hot Streak</a></strong> - Body Work (Vocal Mix)</span></li>
    <li><span><strong><a href=""/tag/the-treacherous-three/"" rel=""tag"">The Treacherous Three</a></strong> - Whip It</span></li>
    <li><span><strong><a href=""/tag/the-bar-kays/"" rel=""tag"">The Bar-Kays</a></strong> - Up In Here</span></li>
    <li><span><strong><a href=""/tag/the-jackson-5/"" rel=""tag"">The Jackson 5</a></strong> - The Life of the Party</span></li>
    <li><span><strong><a href=""/tag/jurassic-5/"" rel=""tag"">Jurassic 5</a></strong> - A Day At the Races</span></li>
</ol>",,"2009-10-05 18:14:41",post,http://www.micromix.fr/bboy-inertie/
155,"Paye ta guitare 2","<h3>Tracklist</h3>
<ol>
    <li><span><strong><a href=""/tag/miami-horror/"" rel=""tag"">Miami Horror</a></strong> - Summerfest '86</span></li>
    <li><span><strong><a href=""/tag/nasa/"" rel=""tag"">N.A.S.A</a></strong> - Strange Enough (<a href=""/tag/mr-oizo/"" rel=""tag"">Mr Oizo</a> Remix)</span></li>
    <li><span><strong><a href=""/tag/svinkels/"" rel=""tag"">Svinkels</a></strong> - Réveille le Punk</span></li>
    <li><span><strong><a href=""/tag/le-tigre/"" rel=""tag"">Le Tigre</a></strong> - Deceptacon</span></li>
    <li><span><strong><a href=""/tag/bonde-do-role/"" rel=""tag"">Bonde do Rolê</a></strong> - Dança do Zumbi </span></li>
</ol>",,"2009-10-12 22:27:22",post,http://www.micromix.fr/paye-ta-guitare-2/
210,"Booty Skillz","""Having sex with you is like makin hits""
<h3>Tracklist</h3>
<ol>
    <li><span><strong><a href=""/tag/r-kelly/"" rel=""tag"">R. Kelly</a> &amp; <a href=""/tag/keri-hilson/"" rel=""tag"">Keri Hilson</a></strong> - Number One (<a href=""/tag/so-shifty/"" rel=""tag"">So Shifty</a> Funky Remix)</span></li>
    <li><span><strong><a href=""/tag/dj-sega/"" rel=""tag"">Dj Sega</a></strong> - Hell Fuck Yeah</span></li>
    <li><span><strong><a href=""/tag/private/"" rel=""tag"">Private</a></strong> - We've got some breaking up to do (<a href=""/tag/zebo/"" rel=""tag"">Zebo</a> Mix)</span></li>
    <li><span><strong><a href=""/tag/top-billin/"" rel=""tag"">Top Billin</a></strong> - Starlyte</span></li>
    <li><span><strong><a href=""/tag/mc-romeu/"" rel=""tag"">Mc Romeu</a></strong> - Nobre Vagabundo</span></li>
</ol>",,"2009-11-15 18:59:48",post,http://www.micromix.fr/booty-skillz/
242,"Cold Night and Hot Dreams","<h3>Tracklist</h3>
<ol>
    <li><span><strong><a href=""/tag/plastiscines/"" rel=""tag"">Plastiscines</a></strong> - Barcelona (<a href=""/tag/lifelike/"" rel=""tag"">Lifelike</a> remix)</span></li>
    <li><span><strong><a href=""/tag/catcomplex/"" rel=""tag"">CatComplex</a></strong> - Love Gemma</span></li>
    <li><span><strong><a href=""/tag/chromeo/"" rel=""tag"">Chromeo</a></strong> - Night by Night (<a href=""/tag/digikid84/"" rel=""tag"">Digikid84</a> remix)</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/kid-cudi/"">Kid Cudi</a></strong> - Embrace The Martian (<a href=""/tag/crookers/"" rel=""tag"">Crookers</a> Remix)</span></li>
    <li><span><strong><a href=""/tag/dragonette/"" rel=""tag"">Dragonette</a></strong> - Pick Up The Phone (<a href=""/tag/richard-x/"" rel=""tag"">Richard X</a> remix)</span></li>
</ol>",,"2009-11-23 20:07:13",post,http://www.micromix.fr/cold-night-and-hot-dreams/
250,"Sassy girls, dirty electro and one mc","Du legging et de la bass pour ce Micromix,
des têtes vont tomber avec le rmx de A trak pour yeah yeah , celles des garcons surement, mais en douçeur avec Suzanne Vega, qui laisse sa place à la “Black Kate moss”, defrisé la soeur, decide de se reposer dans les bras de Blaqman et de Diplo qui lui retournent un vigoureux et vibrant GET OFF !
Et pour feter la sortie de LA ""sassy girl"" Kid sister , un rmx tres 90 de sa track Right Hand Hi…

<h3>Tracklist</h3>
<ol>
    <li><span><strong><a href=""/tag/yeah-yeah-yeahs/"" rel=""tag"">Yeah Yeah Yeahs</a></strong> - Heads Will Roll (<a href=""/tag/a-trak/"" rel=""tag"">A-Trak</a> Remix)</span></li>
    <li><span><strong><a href=""/tag/suzanne-vega/"" rel=""tag"">Suzanne Vega</a></strong> - Tom's Diner (<a href=""/tag/bingo-players/"" rel=""tag"">Bingo Players</a> Bootleg)</span></li>
    <li><span><strong><a href=""/tag/thunderheist/"" rel=""tag"">Thunderheist</a></strong> - LBG (<a href=""/tag/alias/"" rel=""tag"">Alias</a> Remix)</span></li>
    <li><span><strong><a href=""/tag/diplo/"" rel=""tag"">Diplo</a> and <a href=""/tag/blaqstarr/"" rel=""tag"">Blaqstarr</a></strong> - Get off (<a href=""/tag/dj-rob-3/"" rel=""tag"">Dj Rob 3</a> remix)</span></li>
    <li><span><strong><a href=""/tag/kid-sister/"" rel=""tag"">Kid Sister</a></strong> - Right Hand Hi (<a href=""/tag/tommie-sunshine/"" rel=""tag"">Tommie Sunshine</a> Edit)</span></li>
</ol>",,"2009-12-01 06:52:21",post,http://www.micromix.fr/sassy-girls-dirty-electro-and-one-mc/
302,"Puissance de la House","Cette semaine c'est la fête pour trois raisons:
On vous propose un album gratuit d'un de nos artistes préféré
NOUVEL ALBUM Fear of Tigers ""Cossus Snufsigalonica"" <a title=""download now"" href=""http://www.zshare.net/download/69273283b6723b98/"">ici</a>
<a href=""http://www.facebook.com/fearoftigers"" target=""_blank"">www.facebook.com/fearoftigers/
</a><a href=""http://www.myspace.com/fearoftigers"" target=""_blank"">www.myspace.com/fearoftigers</a>

Vous pouvez également demander un prêt hypothécaire à <a href=""http://caissedegatineau.com/pret-hypothecaire/"">Prêt hypothécaire ottawa</a>.
On a changé quelques petites choses dans l'ergonomie du site, et on compte bien continuer à faire évoluer micromix.
Et puis on a enfin un mix qui réunit 4 de nos chouchous, deux anciens de la french touch en la personne de Lifelike et Fred Falke, et les petits nouveaux Miami Horror <a href=""http://www.myspace.com/miamihorror"">www.myspace.com/miamihorror</a> et Fear of Tigers.
Dans ce mix il est question de perdre son âme à San fransisco, et de l'espoir de mettre le feu à la ville, de revenir pour rester, de faire disparaitre la douleur, de ""sometimes"" vouloir disparaitre et enfin d'un certain Pippi longtsrump.
6 morceaux pour ce micromix peut être un nouveau format peut être pas...

<em lang=""en"">This week is Party Time for three reasons :
Introducing the free download of the debut album of one of our favorite artist ""Fear of Tigers"" :
NEW ALBUM Fear of Tigers ""Cossus Snufsigalonica"" <a title=""download now"" href=""http://www.zshare.net/download/69273283b6723b98/"">here</a>
<a href=""http://www.facebook.com/fearoftigers"" target=""_blank"">www.facebook.com/fearoftigers/
</a><a href=""http://www.myspace.com/fearoftigers"" target=""_blank"">www.myspace.com/fearoftigers</a>
We changed some little things in the design of micromix.fr, and we expect make the site evolve soon.
Then, we finally have a mix gathering 4 of our favorites, two old guys from French Touch, Lifelike and Fred Falke, and we have Miami Horror <a href=""http://www.myspace.com/miamihorror"">www.myspace.com/miamihorror</a> and Fear of Tigers.</em>
<h3>Tracklist</h3>
<ol>
	<li><strong><a href=""/tag/dimitri-from-paris/"" rel=""tag"">Dimitri from Paris</a></strong> - Rock this town (<a href=""/tag/lifelike/"" rel=""tag"">Lifelike</a> remix)</li>
	<li><strong><a href=""/tag/citylife/"" rel=""tag"">Citylife</a> feat. <a href=""/tag/dd/"" rel=""tag"">DD</a></strong> - San Francisco (<a href=""/tag/fred-falke/"" rel=""tag"">Fred Falke</a> Remix)</li>
	<li><strong><a href=""/tag/fred-falke/"" rel=""tag"">Fred Falke</a></strong> - Back To Stay</li>
	<li><strong><a href=""/tag/fear-of-tigers/"" rel=""tag"">Fear of Tigers</a></strong> - I Can Make The Pain Disappear</li>
	<li><strong><a href=""/tag/fear-of-tigers/"" rel=""tag"">Fear of Tigers</a></strong> - The Adventures Of Pippi Longstrump</li>
	<li><strong><a href=""/tag/miami-horror/"" rel=""tag"">Miami Horror</a></strong> - Sometimes</li>
</ol>",,"2009-12-09 09:49:36",post,http://www.micromix.fr/puissance-de-la-house/
321,"Where can you see lions","<h3>Tracklist</h3>
<ol>
    <li><span><strong><a href=""/tag/rihanna/"" rel=""tag"">Rihanna</a></strong> - Disturbia</span></li>
    <li><span><strong><a href=""/tag/ne-yo/"" rel=""tag"">Ne-Yo</a></strong> - Closer</span></li>
    <li><span><strong><a href=""/tag/keri-hilson/"" rel=""tag"">Keri Hilson</a> ft <a href=""/tag/ne-yo/"" rel=""tag"">Ne-Yo</a> &amp; <a href=""/tag/kanye-west/"" rel=""tag"">Kanye West</a></strong> - Knock You Down</span></li>
    <li><span><strong><a href=""/tag/keri-hilson/"" rel=""tag"">Keri Hilson</a></strong> - Energy</span></li>
    <li><span><strong><a href=""/tag/jay-z/"" rel=""tag"">Jay Z</a> feat. <a href=""/tag/alicia-keys/"" rel=""tag"">Alicia Keys</a></strong> - Empire State Of Mind</span></li>
</ol>",,"2009-12-15 13:07:33",post,http://www.micromix.fr/where-can-you-see-lions/
331,"Bunny hop","C'est Noël! 
On avait pensé à George Michael dans Wham! mais ce sera finalement un micromix avec des petites nouveautés pour bien commencer la semaine.

<em lang=""en"">It's Christmas! We first though of George Michael in Wham! but you'll have finally a micromix full of new tracks. Better way to start this week.</em>

<h3>Tracklist</h3>
<ol>
    <li><span><strong><a href=""/tag/reni-lane/"" rel=""tag"">Reni Lane</a></strong> - Place For Us (<a href=""/tag/monsieur-adi/"" rel=""tag"">Monsieur Adi</a> Remix)</span></li>
    <li><span><strong><a href=""/tag/bag-raiders/"" rel=""tag"">Bag Raiders</a></strong> - Fun Punch (<a href=""/tag/calling-in-sick/"" rel=""tag"">Calling In Sick</a> Remix)</span></li>
    <li><span><strong><a href=""/tag/we-have-band/"" rel=""tag"">We Have Band</a></strong> - Honey Trap (<a href=""/tag/le-matos/"" rel=""tag"">Le Matos</a> remix)</span></li>
    <li><span><strong><a href=""/tag/lexicondon/"" rel=""tag"">LexiconDon</a></strong> - Heart Attack (<a href=""/tag/diamond-cut/"" rel=""tag"">Diamond Cut</a> Remix)</span></li>
    <li><span><strong><a href=""/tag/empire-of-the-sun/"" rel=""tag"">Empire Of The Sun</a></strong> - Walking On A Dream (<a href=""/tag/redial/"" rel=""tag"">Redial</a> Remix)</span></li>
    <li><span><strong><a href=""/tag/amy-meredith/"" rel=""tag"">Amy Meredith</a></strong> - Pornstar (<a href=""/tag/diamond-cut/"" rel=""tag"">Diamond Cut</a> Dub)</span></li>
</ol>",,"2009-12-22 09:37:42",post,http://www.micromix.fr/bunny-hop/
337,"Bienvenue à ma dernière tournée","Dernier micromix de l'année, bonne année =)

<em lang=""en"">""Welcome to my last tour"" Last micromix of this year, happy new year =)</em>

<h3>Tracklist</h3>
<ol>
    <li><span><strong><a href=""/tag/terry-poison/"" rel=""tag"">Terry Poison</a></strong> - Comme Ci Comme Ca (<a href=""/tag/the-twelves/"" rel=""tag"">The Twelves</a> Remix)</span></li>
    <li><span><strong><a href=""/tag/chelley/"" rel=""tag"">Chelley</a></strong> - Took The Night (<a href=""/tag/grum/"" rel=""tag"">GRUM</a> Remix)</span></li>
    <li><span><strong><a href=""/tag/steed-lord/"" rel=""tag"">Steed Lord</a></strong> - Remember Me (<a href=""/tag/russ-chimes/"" rel=""tag"">Russ Chimes</a> Remix)</span></li>
    <li><span><strong><a href=""/tag/the-temper-trap/"" rel=""tag"">The Temper Trap</a></strong> - Fader (<a href=""/tag/adam-freeland/"" rel=""tag"">Adam Freeland</a> Mix)</span></li>
    <li><span><strong><a href=""/tag/dj-dlg/"" rel=""tag"">Dj DLG</a> &amp; <a href=""/tag/redroche/"" rel=""tag"">Redroche</a></strong> - On The Run (<a href=""/tag/the-outrunners/"" rel=""tag"">The Outrunners</a> remix)</span></li>
</ol>",,"2009-12-30 10:39:46",post,http://www.micromix.fr/bienvenue-a-ma-derniere-tournee/
342,"Zombies are in the club","<a title=""Major Lazer Keep it goin loudEr Videoclip"" href=http://vimeo.com/6793510> cette vidéo </a>pour vous mettre dans l'ambiance.
Et si vous aimez le style de ce mix cliquez les artistes suivants:
<a title=""myspace"" href=http://www.myspace.com/diplo> Diplo </a>
<a title=""myspace"" href=http://www.myspace.com/caspadubstep> Caspa </a>
<a title=""myspace"" href=http://www.myspace.com/jakwob> Jakwob </a>
<a title=""myspace"" href=http://www.myspace.com/skreamuk> Skream </a>
Si vous vous demandez ""mais c'est quoi cette musique?"" - bah c'est du dubstep, genre jungle, drum'n'bass cheulou, comme si Booba prenait de la codéine.

<em lang=""en"">Last night i've seen zombies in da club.
<a title=""Major Lazer Keep it goin loudEr Videoclip"" href=http://vimeo.com/6793510> This video </a> to give you the mood.
If you like this mix, please check these artists :
<a title=""myspace"" href=http://www.myspace.com/diplo> Diplo </a>
<a title=""myspace"" href=http://www.myspace.com/caspadubstep> Caspa </a>
<a title=""myspace"" href=http://www.myspace.com/jakwob> Jakwob </a>
<a title=""myspace"" href=http://www.myspace.com/skreamuk> Skream </a>
Avoid contact with infected.
Have fun.</em>

<h3>Tracklist</h3>
<ol>
    <li><span><strong><a href=""/tag/major-lazer/"" rel=""tag"">Major Lazer</a></strong> - Keep It Goin Lounder (<a href=""/tag/diplo/"" rel=""tag"">diplo</a> Remix)</span></li>
    <li><span><strong><a href=""/tag/ellie-goulding/"" rel=""tag"">Ellie Goulding</a></strong> - Under The Sheets (<a href=""/tag/jakwob/"" rel=""tag"">Jakwob</a> Remix)</span></li>
    <li><span><strong><a href=""/tag/chromeo/"" rel=""tag"">Chromeo</a></strong> - Night By Night (<a href=""/tag/skream/"" rel=""tag"">Skream</a> Remix)</span></li>
    <li><span><strong><a href=""/tag/grand-puba/"" rel=""tag"">Grand Puba</a></strong> - Get It (<a href=""/tag/caspa/"" rel=""tag"">Caspa</a> Remix)</span></li>
    <li><span><strong><a href=""/tag/the-xx/"" rel=""tag"">The Xx</a></strong>  - Intro (<a href=""/tag/jams-f-kennedy/"" rel=""tag"">Jams F. Kennedy</a> WWIV Bootleg)</span></li>
</ol>",,"2010-01-12 10:26:30",post,http://www.micromix.fr/zombies-are-in-the-club/
